SubscriptionOperationsLog_id,subscription_id,event_type_id,event_date,effective_date,subscription_plan_id,end_date,changed_by_user_id,payment_amount,payment_reference,reason,notes
1,1,3,2025-01-15 10:00:00,2025-01-15,4,2026-01-14,1,500000.00,PAY-2025-0115-001,Initial subscription,Enterprise plan activated for main library
2,1,11,2025-01-15 10:30:00,2025-01-15,4,2026-01-14,1,500000.00,INV-2025-0115-001,Payment confirmation,Annual payment received via bank transfer
3,1,1,2025-01-15 11:00:00,2025-01-15,4,2026-01-14,1,,,Subscription activated,All features enabled
4,2,3,2025-02-10 14:30:00,2025-02-10,3,2026-02-09,2,300000.00,PAY-2025-0210-002,New subscription,Premium plan for educational institution
5,2,11,2025-02-10 15:00:00,2025-02-10,3,2026-02-09,2,300000.00,INV-2025-0210-002,Payment confirmed,Cheque payment cleared
6,2,1,2025-02-10 15:30:00,2025-02-10,3,2026-02-09,2,,,Activated,Premium features enabled for campus
7,3,3,2025-03-05 09:00:00,2025-03-05,2,2026-03-04,1,150000.00,PAY-2025-0305-003,Initial subscription,Standard plan for college library
8,3,11,2025-03-05 09:30:00,2025-03-05,2,2026-03-04,1,150000.00,INV-2025-0305-003,Payment received,Online payment successful
9,3,1,2025-03-05 10:00:00,2025-03-05,2,2026-03-04,1,,,Active,Standard features activated
10,4,3,2025-02-20 11:15:00,2025-02-20,3,2026-02-19,2,300000.00,PAY-2025-0220-004,New subscription,Premium plan for engineering college
11,4,11,2025-02-20 11:45:00,2025-02-20,3,2026-02-19,2,300000.00,INV-2025-0220-004,Payment confirmed,NEFT transfer received
12,4,1,2025-02-20 12:00:00,2025-02-20,3,2026-02-19,2,,,Activated,All premium features enabled
13,5,3,2025-04-12 13:30:00,2025-04-12,1,2026-04-11,1,75000.00,PAY-2025-0412-005,Initial subscription,Basic plan for community library
14,5,11,2025-04-12 14:00:00,2025-04-12,1,2026-04-11,1,75000.00,INV-2025-0412-005,Payment received,Cash payment at counter
15,5,1,2025-04-12 14:30:00,2025-04-12,1,2026-04-11,1,,,Active,Basic features enabled
16,6,3,2025-01-25 10:00:00,2025-01-25,4,2026-01-24,2,500000.00,PAY-2025-0125-006,New enterprise plan,Full feature set for institute
17,6,11,2025-01-25 10:30:00,2025-01-25,4,2026-01-24,2,500000.00,INV-2025-0125-006,Payment confirmed,Bank transfer completed
18,6,1,2025-01-25 11:00:00,2025-01-25,4,2026-01-24,2,,,Activated,Enterprise features enabled
19,7,3,2025-03-18 15:00:00,2025-03-18,2,2026-03-17,1,150000.00,PAY-2025-0318-007,Initial subscription,Standard plan activated
20,7,11,2025-03-18 15:30:00,2025-03-18,2,2026-03-17,1,150000.00,INV-2025-0318-007,Payment received,Online payment successful
21,7,1,2025-03-18 16:00:00,2025-03-18,2,2026-03-17,1,,,Active,Subscription activated successfully
22,8,3,2025-05-08 09:30:00,2025-05-08,1,2026-05-07,2,75000.00,PAY-2025-0508-008,New basic plan,Entry-level subscription
23,8,11,2025-05-08 10:00:00,2025-05-08,1,2026-05-07,2,75000.00,INV-2025-0508-008,Payment confirmed,Cheque cleared
24,8,1,2025-05-08 10:30:00,2025-05-08,1,2026-05-07,2,,,Activated,Basic features live
25,9,3,2025-02-28 11:00:00,2025-02-28,3,2026-02-27,1,300000.00,PAY-2025-0228-009,Initial subscription,Premium plan for institute
26,9,11,2025-02-28 11:30:00,2025-02-28,3,2026-02-27,1,300000.00,INV-2025-0228-009,Payment received,RTGS transfer successful
